-1,-1,-1,-1,-1,-1,-1,-1
-1,573.99,573.99,573.99,-1,573.99,573.99,573.99
-1,573.99,573.99,573.99,-1,573.99,573.99,573.99
-1,573.99,573.99,573.99,-1,573.99,573.99,573.99
-1,573.99,573.99,573.99,-1,573.99,573.99,573.99
-1,573.99,573.99,573.99,-1,573.99,573.99,573.99
-1,573.99,573.99,573.99,-1,573.99,573.99,573.99
-1,-1,-1,-1,-1,-1,-1,-1
-1,449.99,449.99,449.99,-1,449.99,449.99,449.99
-1,449.99,449.99,449.99,-1,449.99,449.99,449.99
-1,449.99,449.99,449.99,-1,449.99,449.99,449.99
-1,449.99,449.99,449.99,-1,449.99,449.99,449.99
-1,449.99,449.99,449.99,-1,449.99,449.99,449.99
-1,449.99,449.99,449.99,-1,449.99,449.99,449.99
